,de_hyd_state,cycle_number,time_start,time_end,cycle_duration
159,Hydrogenated,79.5,2022-06-12 08:00:38.251000+02:00,2022-06-12 12:00:38.259000+02:00,4:00:00.008000
160,Dehydrogenated,80.0,2022-06-12 12:15:38.267000+02:00,2022-06-12 16:30:38.311000+02:00,4:15:00.044000
161,Hydrogenated,80.5,2022-06-12 16:45:38.310000+02:00,2022-06-12 20:45:38.346000+02:00,4:00:00.036000
162,Dehydrogenated,81.0,2022-06-12 21:00:38.351000+02:00,2022-06-13 01:00:38.381000+02:00,4:00:00.030000
163,Hydrogenated,81.5,2022-06-13 01:15:38.369000+02:00,2022-06-13 05:30:38.450000+02:00,4:15:00.081000
164,Dehydrogenated,82.0,2022-06-13 05:45:38.442000+02:00,2022-06-13 09:45:38.436000+02:00,3:59:59.994000
165,Hydrogenated,82.5,2022-06-13 10:00:38.435000+02:00,2022-06-13 14:00:38.517000+02:00,4:00:00.082000
166,Dehydrogenated,83.0,2022-06-13 14:15:38.512000+02:00,2022-06-13 18:30:38.505000+02:00,4:14:59.993000
167,Hydrogenated,83.5,2022-06-13 18:45:38.530000+02:00,2022-06-13 22:45:38.588000+02:00,4:00:00.058000
168,Dehydrogenated,84.0,2022-06-13 23:00:38.584000+02:00,2022-06-14 03:00:38.599000+02:00,4:00:00.015000
169,Hydrogenated,84.5,2022-06-14 03:15:38.596000+02:00,2022-06-14 14:07:57.658000+02:00,10:52:19.062000
170,Dehydrogenated,85.0,2022-06-14 14:22:57.661000+02:00,2022-06-14 18:37:57.729000+02:00,4:15:00.068000
171,Hydrogenated,85.5,2022-06-14 18:52:57.731000+02:00,2022-06-14 22:52:57.791000+02:00,4:00:00.060000
172,Dehydrogenated,86.0,2022-06-14 23:07:57.806000+02:00,2022-06-15 03:07:57.858000+02:00,4:00:00.052000
173,Hydrogenated,86.5,2022-06-15 03:22:57.860000+02:00,2022-06-15 07:30:38.925000+02:00,4:07:41.065000
174,Dehydrogenated,87.0,2022-06-15 07:45:38.942000+02:00,2022-06-15 12:00:38.977000+02:00,4:15:00.035000
175,Hydrogenated,87.5,2022-06-15 12:15:39.300000+02:00,2022-06-15 16:15:39.650000+02:00,4:00:00.350000
176,Dehydrogenated,88.0,2022-06-15 16:30:39.560000+02:00,2022-06-15 20:30:39.140000+02:00,3:59:59.580000
177,Hydrogenated,88.5,2022-06-15 20:45:39.136000+02:00,2022-06-16 01:00:39.214000+02:00,4:15:00.078000
178,Dehydrogenated,89.0,2022-06-16 01:15:39.221000+02:00,2022-06-16 05:15:38.306000+02:00,3:59:59.085000
179,Hydrogenated,89.5,2022-06-16 05:30:38.287000+02:00,2022-06-16 09:30:38.403000+02:00,4:00:00.116000
180,Dehydrogenated,90.0,2022-06-16 09:45:38.391000+02:00,2022-06-16 14:00:38.390000+02:00,4:14:59.999000
181,Hydrogenated,90.5,2022-06-16 14:15:38.432000+02:00,2022-06-16 18:15:38.547000+02:00,4:00:00.115000
182,Dehydrogenated,91.0,2022-06-16 18:30:38.531000+02:00,2022-06-16 22:30:38.557000+02:00,4:00:00.026000
183,Hydrogenated,91.5,2022-06-16 22:45:38.550000+02:00,2022-06-17 03:00:38.689000+02:00,4:15:00.139000
184,Dehydrogenated,92.0,2022-06-17 03:15:38.680000+02:00,2022-06-17 07:15:38.712000+02:00,4:00:00.032000
185,Hydrogenated,92.5,2022-06-17 07:30:38.714000+02:00,2022-06-17 11:30:38.829000+02:00,4:00:00.115000
186,Dehydrogenated,93.0,2022-06-17 11:45:38.828000+02:00,2022-06-17 16:00:38.878000+02:00,4:15:00.050000
187,Hydrogenated,93.5,2022-06-17 16:15:38.873000+02:00,2022-06-17 20:15:38.974000+02:00,4:00:00.101000
188,Dehydrogenated,94.0,2022-06-17 20:30:38.971000+02:00,2022-06-18 00:30:39.350000+02:00,4:00:00.379000
189,Hydrogenated,94.5,2022-06-18 00:45:39.320000+02:00,2022-06-18 05:00:38.117000+02:00,4:14:58.797000
190,Dehydrogenated,95.0,2022-06-18 05:15:38.121000+02:00,2022-06-18 09:15:38.192000+02:00,4:00:00.071000
191,Hydrogenated,95.5,2022-06-18 09:30:38.196000+02:00,2022-06-18 13:30:38.259000+02:00,4:00:00.063000
192,Dehydrogenated,96.0,2022-06-18 13:45:38.266000+02:00,2022-06-18 18:00:38.355000+02:00,4:15:00.089000
193,Hydrogenated,96.5,2022-06-18 18:15:38.378000+02:00,2022-06-18 22:15:38.441000+02:00,4:00:00.063000
194,Dehydrogenated,97.0,2022-06-18 22:30:38.444000+02:00,2022-06-19 02:30:38.541000+02:00,4:00:00.097000
195,Hydrogenated,97.5,2022-06-19 02:45:38.530000+02:00,2022-06-19 07:00:38.561000+02:00,4:15:00.031000
196,Dehydrogenated,98.0,2022-06-19 07:15:38.606000+02:00,2022-06-19 11:15:38.685000+02:00,4:00:00.079000
197,Hydrogenated,98.5,2022-06-19 11:30:38.720000+02:00,2022-06-19 15:30:38.731000+02:00,4:00:00.011000
198,Dehydrogenated,99.0,2022-06-19 15:45:38.723000+02:00,2022-06-19 20:00:38.854000+02:00,4:15:00.131000
199,Hydrogenated,99.5,2022-06-19 20:15:38.852000+02:00,2022-06-20 00:15:38.891000+02:00,4:00:00.039000
200,Dehydrogenated,100.0,2022-06-20 00:30:38.879000+02:00,2022-06-20 04:30:39.400000+02:00,4:00:00.521000
